母券商,買股數,賣股數,回轉股數(FIFO),回轉張數(FIFO),均買價,均賣價,已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),期末淨部位(股)
9A00永豐金,"1,562,127 ","440,952 ","440,952 ",441,176.99,175.79,"1,212,140 ","61,374 ","116,273 ","1,034,493 ","1,121,175 "
台灣摩根,"1,978,000 ","1,088,000 ","1,088,000 ",1088,175.21,174.23,"1,196,500 ","150,797 ","284,350 ","761,352 ","890,000 "
美商高盛,"1,704,077 ","904,000 ","904,000 ",904,175.38,179.24,"5,677,538 ","127,035 ","243,045 ","5,307,459 ","800,077 "
美林,"1,299,000 ","538,000 ","538,000 ",538,175.71,177.47,"2,425,000 ","75,225 ","143,219 ","2,206,556 ","761,000 "
瑞銀,"1,719,619 ","1,070,000 ","1,070,000 ",1070,176.1,178.12,"4,165,286 ","150,430 ","285,887 ","3,728,968 ","649,619 "
摩根大通,"1,254,556 ","708,200 ","708,200 ",708,174.71,179.71,"4,664,156 ","99,704 ","190,911 ","4,373,541 ","546,356 "
g群益,"49,700 ","41,100 ","41,100 ",41,176.08,182.93,"288,000 ","5,885 ","11,277 ","270,838 ","8,600 "
凱基城中,"74,100 ","77,044 ","74,100 ",74,173.45,183.31,"724,707 ","10,545 ","20,366 ","693,796 ","(2,944)"
元大,"2,833,818 ","2,858,584 ","2,833,818 ",2834,176.9,178.07,"3,289,731 ","401,358 ","756,900 ","2,131,473 ","(24,766)"
凱基,"3,280,779 ","3,333,968 ","3,280,779 ",3281,176.59,177.57,"3,038,026 ","463,538 ","873,591 ","1,700,896 ","(53,189)"
